Subject,BSC,Masters,PHD,Total
Statistics,1,10,0,11
Electrical & Computer Eng,0,5,2,7
Bioinformatics,0,5,1,6
Computer Science,0,5,0,5
Psychology,0,0,5,5
Zoology,0,2,3,5
Resource Mgmt/Envirn Stud,0,1,2,3
Genome Science & Technology,0,2,0,2
Geology,0,2,0,2
Mathematics,0,2,0,2
Microbiology & Immunology,0,1,1,2
Computer Science And Statistics,1,0,0,1
Economics,0,0,1,1
Experimental Medicine,0,1,0,1
Forestry,0,1,0,1
Geography,0,0,1,1
Mechatronics Design,0,1,0,1
Oceanography,0,0,1,1
Operations Research,0,1,0,1
Physics,0,0,1,1
Population and Public Health,0,1,0,1
