itemId,name,price,rating
N19007,Noodler's Violet (3oz Bottled Ink),$12.50,5.0
N19176,Noodler's Sunrise (3oz Bottled Ink),$10.00,5.0
N19175,Noodler's St. Patty's Eire (3oz Bottled Ink),$12.50,5.0
N19005,Noodler's Turquoise (3oz Bottled Ink),$12.50,4.9
N19036,Noodler's Shah's Rose (3oz Bottled Ink),$12.50,4.9
N19029,Noodler's Navajo Turquoise (3oz Bottled Ink),$12.50,4.9
N19171,Noodler's Hellfire (3oz Bottled Ink),$12.50,4.8
N19032,Noodler's Saguaro Wine (3oz Bottled Ink),$12.50,4.8
N19024,Noodler's Beaver (3oz Bottled Ink),$12.50,4.8
N19819,Noodler's X-Feather (4.5oz Bottled Ink) with Free Pen,$19.00,4.8
N19012,Noodler's Burgundy (3oz Bottled Ink),$12.50,4.8
N19205,Noodler's Cactus Fruit Eel (3oz Bottled Ink),$12.50,4.8
N19031,Noodler's Widow Maker (3oz Bottled Ink),$12.50,4.8
N19206,Noodler's Turquoise Eel (3oz Bottled Ink),$12.50,4.8
N19073,Noodler's General of the Armies (3oz Bottled Ink),$12.50,4.8
N19804,Noodler's Lexington Gray (4.5oz Bottled Ink) with Free Pen,$18.00,4.8
N19190,Noodler's Blue Ghost (3oz Bottled Ink),$13.50,4.8
N19809,Noodler's Blue Ghost (4.5oz Bottled Ink) with Free Pen,$18.00,4.8
N19001,Noodler's Black (3oz Bottled Ink),$12.50,4.8
N19801,Noodler's Black (4.5oz Bottled Ink),$18.00,4.8
N19010,Noodler's Kiowa Pecan (3oz Bottled Ink),$12.50,4.8
N19065,Noodler's Black Swan in Australian Roses (3oz Bottled Ink),$12.50,4.8
N19054,Noodler's North African Violet (3oz Bottled Ink),$12.50,4.7
N19810,Noodler's Nikita (4.5oz Bottled Ink) with Free Pen,$19.00,4.7
N19802,Noodler's Firefly (4.5oz Bottled Ink),$18.00,4.7
N19811,Noodler's Baystate Blue (4.5oz Bottled Ink) with Free Pen,$21.00,4.7
N19057,Noodler's Mandalay Maroon (3oz Bottled Ink),$12.50,4.7
N19042,Noodler's Lexington Gray (3oz Bottled Ink),$12.50,4.7
N19050,Noodler's Baystate Cape Cod Cranberry (3oz Bottled Ink),$12.50,4.7
N19039,Noodler's Green Marine (3oz Bottled Ink),$12.50,4.7
N19813,Noodler's Baystate Cape Cod Cranberry (4.5oz Bottled Ink) with ...,$21.00,4.7
N19034,Noodler's Tiananmen (3oz Bottled Ink),$12.50,4.7
N19808,Noodler's Heart of Darkness (4.5oz Bottled Ink) with Free ...,$19.00,4.7
N19040,Noodler's Air Corp Blue Black (3oz Bottled Ink),$12.50,4.7
N19207,Noodler's Black Eel (3oz Bottled Ink),$12.50,4.7
N19009,Noodler's Army Green (3oz Bottled Ink),$12.50,4.7
N19821,Noodler's Blackerase Waterase Ink (4.5oz Bottled Ink) with Free ...,$19.00,4.7
N19003,Noodler's Blue (3oz Bottled Ink),$12.50,4.7
N19014,Noodler's Blue Black (3oz Bottled Ink),$12.50,4.7
N19203,Noodler's Blue Eel (3oz Bottled Ink),$12.50,4.7
N19025,Noodler's Sequoia Green (3oz Bottled Ink),$12.50,4.7
N19027,Noodler's Zhivago (3oz Bottled Ink),$12.50,4.7
N19059,Noodler's Burma Road Brown (3oz Bottled Ink),$12.50,4.7
N19061,Noodler's Bad Black Moccasin (3oz Bottled Ink),$12.50,4.7
N19002,Noodler's Red (3oz Bottled Ink),$12.50,4.7
N19028,Noodler's Ottoman Rose (3oz Bottled Ink),$12.50,4.7
N19026,Noodler's Nightshade (3oz Bottled Ink),$12.50,4.7
N19046,Noodler's X-Feather (3oz Bottled Ink),$12.50,4.7
N19071,Noodler's 54th Massachusetts (3oz Bottled Ink),$12.50,4.6
N19013,Noodler's Antietam (3oz Bottled Ink),$12.50,4.6
N19022,Noodler's Apache Sunset (3oz Bottled Ink),$12.50,4.6
N19062,Noodler's Bad Belted Kingfisher (3oz Bottled Ink),$12.50,4.6
N19077,Noodler's Berning Red (3oz Bottled Ink),$12.50,4.6
N19037,Noodler's Black Swan in English Roses (3oz Bottled Ink),$12.50,4.6
N19815,Noodler's Borealis Black (4.5oz Bottled Ink) with Free Pen,$19.00,4.6
N19017,Noodler's Brown (3oz Bottled Ink),$12.50,4.6
N19020,Noodler's Cayenne (3oz Bottled Ink),$12.50,4.6
N19818,Noodler's Dragon Catfish Pink (4.5oz Bottled Ink) with Free ...,$21.00,4.6
N19599,Noodler's El Lawrence (3oz Bottled Ink),$18.50,4.6
N19170,Noodler's Firefly (3oz Bottled Ink),$12.50,4.6
N19016,Noodler's Forest Green (3oz Bottled Ink),$12.50,4.6
N19011,Noodler's Golden Brown (3oz Bottled Ink),$12.50,4.6
N19033,Noodler's Gruene Cactus (3oz Bottled Ink),$12.50,4.6
N19204,Noodler's Gruene Cactus Eel (3oz Bottled Ink),$12.50,4.6
N19021,Noodler's Habanero (3oz Bottled Ink),$12.50,4.6
N19899,Noodler's Kung Te-Cheng (4.5oz Bottled Ink) with Free Pen,$27.50,4.6
N20001,Noodler's Liberty's Elysium (3oz Bottled Ink),$12.50,4.6
N19006,Noodler's Midnight Blue (3oz Bottled Ink),$12.50,4.6
N19055,Noodler's Midway Blue (3oz Bottled Ink),$12.50,4.6
N19056,Noodler's Operation Overlord Orange (3oz Bottled Ink),$12.50,4.6
N19035,Noodler's Ottoman Azure (3oz Bottled Ink),$12.50,4.6
N19201,Noodler's Polar Black (3oz Bottled Ink),$12.50,4.6
N19023,Noodler's Squeteague (3oz Bottled Ink),$12.50,4.6
N19004,Noodler's Yellow (3oz Bottled Ink),$12.50,4.6
N19038,Noodler's Navy (3oz Bottled Ink),$12.50,4.6
N19018,Noodler's Walnut (3oz Bottled Ink),$12.50,4.5
N19807,Noodler's Whiteness of the Whale (1oz Bottled Ink),$12.50,4.5
N19814,Noodler's Dragon's Napalm (4.5oz Bottled Ink) with Free Pen,$21.00,4.5
N19174,Noodler's Atlantic Salmon (3oz Bottled Ink),$10.00,4.5
N19052,Noodler's Dark Matter (3oz Bottled Ink),$12.50,4.5
N19074,Noodler's Park Red (3oz Bottled Ink),$12.50,4.5
N19803,Noodler's Polar Black (4.5oz Bottled Ink),$18.00,4.5
N19823,Noodler's Polar Green (4.5oz Bottled Ink) with Free Pen,$19.00,4.5
N20000,Noodler's Purple Heart (3oz Bottled Ink),$12.50,4.5
N19041,Noodler's Purple Martin (3oz Bottled Ink),$12.50,4.5
N19070,Noodler's Q'Ternity (3oz Bottled Ink),$12.50,4.5
N19202,Noodler's Rattler Red Eel (3oz Bottled Ink),$12.50,4.5
